"subregion","long","lat","group","order"
"North Island",177.916610717773,-39.0624008178711,1110,70016
"North Island",177.951370239258,-39.0945320129395,1110,70017
"North Island",177.965621948242,-39.1424789428711,1110,70018
"North Island",177.908798217773,-39.2395477294922,1110,70019
"North Island",177.87548828125,-39.2254905700684,1110,70020
"North Island",177.828720092773,-39.1447257995605,1110,70021
"North Island",177.7861328125,-39.1109352111816,1110,70022
"North Island",177.655853271484,-39.0857391357422,1110,70023
"North Island",177.52294921875,-39.0738296508789,1110,70024
"North Island",177.407531738281,-39.0811500549316,1110,70025
"North Island",177.296585083008,-39.1158218383789,1110,70026
"North Island",177.128723144531,-39.1861343383789,1110,70027
"North Island",177.076751708984,-39.2217788696289,1110,70028
"North Island",177.03125,-39.2668952941895,1110,70029
"North Island",176.9541015625,-39.3675765991211,1110,70030
"North Island",176.935729980469,-39.49072265625,1110,70031
"North Island",176.939254760742,-39.5552749633789,1110,70032
"North Island",176.966598510742,-39.6051750183105,1110,70033
"North Island",177.10986328125,-39.6731452941895,1110,70034
"North Island",176.967971801758,-39.9107437133789,1110,70035
"North Island",176.842193603516,-40.1578140258789,1110,70036
"North Island",176.770706176758,-40.2284164428711,1110,70037
"North Island",176.688766479492,-40.29345703125,1110,70038
"North Island",176.611526489258,-40.4419898986816,1110,70039
"North Island",176.476455688477,-40.5700187683105,1110,70040
"North Island",176.385147094727,-40.6676788330078,1110,70041
"North Island",176.313858032227,-40.7689437866211,1110,70042
"North Island",176.251754760742,-40.8768539428711,1110,70043
"North Island",176.11865234375,-41.0290985107422,1110,70044
"North Island",176.059951782227,-41.1296882629395,1110,70045
"North Island",175.98291015625,-41.2132797241211,1110,70046
"North Island",175.839660644531,-41.3201179504395,1110,70047
"North Island",175.687301635742,-41.4117202758789,1110,70048
"North Island",175.447067260742,-41.5382804870605,1110,70049
"North Island",175.380264282227,-41.580078125,1110,70050
"North Island",175.309768676758,-41.6106414794922,1110,70051
"North Island",175.22216796875,-41.5744171142578,1110,70052
"North Island",175.204483032227,-41.5349617004395,1110,70053
"North Island",175.184661865234,-41.4490242004395,1110,70054
"North Island",175.165618896484,-41.4173812866211,1110,70055
"North Island",175.053909301758,-41.3912086486816,1110,70056
"North Island",174.906051635742,-41.4329109191895,1110,70057
"North Island",174.88134765625,-41.4240264892578,1110,70058
"North Island",174.875198364258,-41.404296875,1110,70059
"North Island",174.875,-41.2782211303711,1110,70060
"North Island",174.900192260742,-41.24267578125,1110,70061
"North Island",174.865631103516,-41.2230453491211,1110,70062
"North Island",174.83154296875,-41.2307624816895,1110,70063
"North Island",174.819732666016,-41.2628898620605,1110,70064
"North Island",174.841217041016,-41.2907218933105,1110,70065
"North Island",174.757034301758,-41.3252944946289,1110,70066
"North Island",174.669540405273,-41.3262672424316,1110,70067
"North Island",174.642959594727,-41.3126945495605,1110,70068
"North Island",174.635360717773,-41.2894515991211,1110,70069
"North Island",174.656539916992,-41.2512702941895,1110,70070
"North Island",174.684860229492,-41.2176742553711,1110,70071
"North Island",174.847747802734,-41.0587921142578,1110,70072
