ID,FamilyImp,FrndsImp,LesrImp,PoltcImp,WorkImp,RelgnImp,FeelHappy,StateofHlth,SatisfLife,Sex,Age,HighEducLev,SocialClass,Income,SizeTown,VeryHappy,AgeGroup4,MostTrusted,MaritalStatus,HwManyMembershp
1836,1,2,2,3,2,3,2,3,7,2,23,8,4,4,3,0,1, ,2,4
1850,1,1,1,3,2,3,2,1,8,1,49,8,,9,1,0,2,1,2,4
1877,1,2,2,3,3,4,2,2,8,2,65,6,4,2,3,0,4,0,2,4
1884,1,1,1,3,1,3,2,2,10,1,79,6,4,3,2,0,4,1,2,4
1975,1,1,1,3,2,3,1,2,8,1,23,9,2,8,4,1,1,0,1,4
1983,1,2,2,2,2,1,3,4,3,1,68,7,4,1,2,0,4,0,2,4
2029,1,1,1,3,2,3,2,1,6,1,51,1,5,3,3,0,3,1,3,4
2032,1,1,2,2,1,1,1,2,10,1,,7,2,1,1,1, ,0,2,4
2067,1,1,2,3,4,3,2,2,8,2,68,6,4,3,5,0,4,0,2,4
2073,1,2,1,4,4,4,2,3,9,1,72,7,, ,5,0,4,0, ,4
2075,1,1,2,1,,,2,3,3,2,68,7,2,10,6,0,4,0,2,4
2084,1,1,2,3,1,1,1,3,10,2,87,7,3,3,6,1,4,0,3,4
2090,1,1,2,3,2,4,1,1,10,2,56,7,2,9,1,1,3,1,2,4
2100,1,2,1,4,1,4,1,1,10,1,41,1,4,3,1,1,2,0,2,4
2152,1,3,2,2,1,2,2,2,5,2,39,8,5,2,5,0,2,0,1,4
2164,1,1,2,4,1,4,2,1,4,2,50,1,5,3,1,0,3,0,3,4
2197,1,2,2,3,3,3,2,2,7,2,68,8,,2,1,0,4,0,2,4
2229,2,3,1,4,4,2,2,1,7,1,20,7,2,10,6,0,1,0,1,4
2231,1,2,2,3,2,3,2,1,9,1,55,8,3,9,6,0,3,1,2,4
2236,1,2,1,4,2,4,1,1,9,2,38,7,4,8,2,1,2,0,2,4
2275,1,2,2,2,4,3,2,2,8,1,58,9,,6,1,0,3,1,2,4
2291,1,1,2,2,1,2,1,2,8,2,66,6,4,1,4,1,4,0,2,4
2327,1,1,1,3,2,4,1,3,7,2,24,9,2,8,7,1,1,0,1,4
2329,1,1,1,2,1,3,2,1,2,2,70,7,4, ,7,0,4,0,3,4
2339,1,1,1,3,2,3,2,1,8,2,41,9,2,10,7,0,2,0,2,4
2373,1,1,1,2,2,2,2,3,3,1,23,8,,4,7,0,1,0,1,4
